date,value
2013-01-01,295
2013-01-02,347
2013-01-03,410
2013-01-04,389
2013-01-05,306
2013-01-06,301
2013-01-07,388
2013-01-08,399
2013-01-09,378
2013-01-10,435
2013-01-11,514
2013-01-12,358
2013-01-13,294
2013-01-14,407
2013-01-15,394
2013-01-16,434
2013-01-17,392
2013-01-18,432
2013-01-19,361
2013-01-20,295
2013-01-21,280
2013-01-22,401
2013-01-23,408
2013-01-24,431
2013-01-25,541
2013-01-26,440
2013-01-27,322
2013-01-28,404
2013-01-29,409
2013-01-30,376
2013-01-31,438
2013-02-01,460
2013-02-02,434
2013-02-03,363
2013-02-04,434
2013-02-05,442
2013-02-06,434
2013-02-07,400
2013-02-08,580
2013-02-09,345
2013-02-10,305
2013-02-11,367
2013-02-12,393
2013-02-13,437
2013-02-14,474
2013-02-15,475
2013-02-16,358
2013-02-17,343
2013-02-18,288
2013-02-19,388
2013-02-20,388
2013-02-21,376
2013-02-22,412
2013-02-23,422
2013-02-24,331
2013-02-25,379
2013-02-26,407
2013-02-27,423
2013-02-28,388
2013-03-01,457
2013-03-02,363
2013-03-03,364
2013-03-04,466
2013-03-05,388
2013-03-06,389
2013-03-07,441
2013-03-08,703
2013-03-09,433
2013-03-10,319
2013-03-11,408
2013-03-12,420
2013-03-13,481
2013-03-14,429
2013-03-15,463
2013-03-16,416
2013-03-17,345
2013-03-18,481
2013-03-19,416
2013-03-20,420
2013-03-21,372
2013-03-22,465
2013-03-23,368
2013-03-24,356
2013-03-25,398
2013-03-26,333
2013-03-27,361
2013-03-28,429
2013-03-29,396
2013-03-30,400
2013-03-31,329
2013-04-01,361
2013-04-02,328
2013-04-03,404
2013-04-04,432
2013-04-05,464
2013-04-06,424
2013-04-07,359
2013-04-08,467
2013-04-09,467
2013-04-10,455
2013-04-11,402
2013-04-12,510
2013-04-13,431
2013-04-14,370
2013-04-15,472
2013-04-16,451
2013-04-17,409
2013-04-18,425
2013-04-19,427
2013-04-20,408
2013-04-21,328
2013-04-22,441
2013-04-23,396
2013-04-24,458
2013-04-25,436
2013-04-26,521
2013-04-27,387
2013-04-28,326
2013-04-29,493
2013-04-30,460
2013-05-01,451
2013-05-02,450
2013-05-03,531
2013-05-04,451
2013-05-05,386
2013-05-06,434
2013-05-07,459
2013-05-08,473
2013-05-09,475
2013-05-10,538
2013-05-11,407
2013-05-12,392
2013-05-13,448
2013-05-14,430
2013-05-15,410
2013-05-16,443
2013-05-17,569
2013-05-18,403
2013-05-19,418
2013-05-20,521
2013-05-21,543
2013-05-22,438
2013-05-23,588
2013-05-24,503
2013-05-25,403
2013-05-26,359
2013-05-27,333
2013-05-28,523
2013-05-29,437
2013-05-30,545
2013-05-31,573
2013-06-01,489
2013-06-02,377
2013-06-03,539
2013-06-04,458
2013-06-05,452
2013-06-06,468
2013-06-07,623
2013-06-08,434
2013-06-09,407
2013-06-10,487
2013-06-11,478
2013-06-12,471
2013-06-13,435
2013-06-14,544
2013-06-15,460
2013-06-16,359
2013-06-17,471
2013-06-18,480
2013-06-19,509
2013-06-20,511
2013-06-21,530
2013-06-22,447
2013-06-23,381
2013-06-24,529
2013-06-25,491
2013-06-26,488
2013-06-27,454
2013-06-28,476
2013-06-29,453
2013-06-30,344
2013-07-01,489
2013-07-02,455
2013-07-03,452
2013-07-04,333
2013-07-05,447
2013-07-06,393
2013-07-07,367
2013-07-08,447
2013-07-09,432
2013-07-10,456
2013-07-11,431
2013-07-12,458
2013-07-13,420
2013-07-14,367
2013-07-15,435
2013-07-16,429
2013-07-17,466
2013-07-18,478
2013-07-19,528
2013-07-20,425
2013-07-21,328
2013-07-22,435
