lon,lat,k2,k3,k4,k5,k6
-73.9614,40.680473,0,0,1,1,0
-73.896539,40.7505412,1,1,2,0,5
-73.7275823,40.6594793,1,2,0,2,3
-74.2379747,40.533042,0,0,3,4,2
-73.9140776,40.8332873,1,1,2,3,1
-73.805401,40.6747116,1,2,0,2,3
-73.8592651,40.7599217,1,2,0,2,5
-73.7395512,40.6652573,1,2,0,2,3
-73.8074409,40.6748962,1,2,0,2,3
-73.8856225,40.653056,0,2,1,1,5
-73.8918612,40.6750916,1,2,1,1,5
-73.9175769,40.654313,0,0,1,1,0
-73.910927,40.6763431,0,0,1,1,0
-74.1411066,40.5724226,0,0,3,4,2
-73.9973989,40.7214494,0,0,1,0,4
-73.9138822,40.6799355,0,0,1,1,0
-73.8532084,40.7417302,1,2,0,2,5
-73.9593232,40.7408037,0,1,1,0,4
-74.1106455,40.5932616,0,0,3,4,2
-73.9295459,40.8077033,1,1,2,3,1
-73.8667,40.6774696,1,2,0,2,5
-73.8275612,40.7640424,1,2,0,2,5
-74.0364273,40.6247342,0,0,1,1,0
-73.7874837,40.6894194,1,2,0,2,3
-73.9185551,40.8301891,1,1,2,3,1
-73.8508783,40.6912455,1,2,0,2,5
-73.9131379,40.6866514,0,0,1,1,5
-73.9807129,40.6495238,0,0,1,1,0
-73.7799359,40.7551698,1,2,0,2,3
-73.8351173,40.6850839,1,2,0,2,5
-73.9466603,40.8265303,1,1,2,3,1
-73.8257728,40.7563571,1,2,0,2,5
-73.7338729,40.6781613,1,2,0,2,3
-73.952359,40.7097167,0,0,1,0,4
-73.9560071,40.6583552,0,0,1,1,0
-73.9879876,40.6159258,0,0,1,1,0
-74.0872096,40.6133078,0,0,3,4,2
-73.8021011,40.7006414,1,2,0,2,3
-73.9620814,40.6626584,0,0,1,1,0
-73.7736868,40.6779556,1,2,0,2,3
-74.0022928,40.6738386,0,0,1,1,0
-73.9112291,40.8177089,1,1,2,3,1
-73.9112291,40.8177089,1,1,2,3,1
-73.9243649,40.6114632,0,0,1,1,0
-73.7146711,40.7287373,1,2,0,2,3
-74.1230886,40.5732475,0,0,3,4,2
-73.7951121,40.6969951,1,2,0,2,3
-73.8930715,40.8713965,1,1,2,3,1
-74.1479028,40.5708906,0,0,3,4,2
-73.9629257,40.7583082,0,1,1,0,4
-73.8222416,40.6661202,1,2,0,2,3
-73.910935,40.6541735,0,0,1,1,0
-73.9538687,40.7434174,0,1,1,0,4
-73.8899693,40.8276073,1,1,2,3,1
-73.9579745,40.670658,0,0,1,1,0
-73.8275939,40.6775,1,2,0,2,5
-73.8936503,40.6632221,0,2,1,1,5
-73.9052406,40.6491268,0,0,1,1,0
-73.9005032,40.6409241,0,0,1,1,0
-73.7868207,40.7039188,1,2,0,2,3
-73.9380089,40.7036686,0,0,1,0,4
-73.9926216,40.5984336,0,0,1,1,0
-73.7442823,40.7653588,1,2,0,2,3
-73.8704197,40.8653624,1,1,2,3,1
-74.1551131,40.5649414,0,0,3,4,2
-73.8373202,40.8669728,1,1,2,3,1
-73.8431695,40.870291,1,1,2,3,1
-73.9259009,40.7722611,1,1,2,0,4
-74.090946,40.6274982,0,0,3,4,2
-73.9079765,40.6773646,0,0,1,1,5
-73.8679693,40.7611232,1,1,2,2,5
-73.9462422,40.6374605,0,0,1,1,0
-73.8254711,40.7185861,1,2,0,2,5
-73.9199662,40.6694768,0,0,1,1,0
-73.9086739,40.6578031,0,0,1,1,0
-73.9304905,40.6953559,0,0,1,0,4
-73.800828,40.7489306,1,2,0,2,3
-73.8578041,40.8998154,1,1,2,3,1
-74.1152753,40.6283218,0,0,3,4,2
-73.8373299,40.7048549,1,2,0,2,5
-73.9243857,40.6790124,0,0,1,1,0
-73.9574027,40.7701196,1,1,2,0,4
-73.7566526,40.6056201,1,2,0,2,3
-73.9438574,40.8381473,1,1,2,3,1
-73.9470338,40.8158288,1,1,2,3,1
-73.9146686,40.713436,1,1,1,0,5
-73.9741097,40.6896621,0,0,1,1,0
-73.8762443,40.7681288,1,1,2,3,5
-73.8197507,40.734195,1,2,0,2,5
-73.9287277,40.6812357,0,0,1,1,0
-73.9888429,40.7568452,0,1,1,0,4
-73.7136269,40.7592949,1,2,0,2,3
-73.9469072,40.7027837,0,0,1,0,4
-74.1664465,40.5272419,0,0,3,4,2
-73.9446768,40.7915698,1,1,2,0,4
-73.9915358,40.7271664,0,0,1,0,4
-73.8735864,40.681095,1,2,0,2,5
-73.7980962,40.6678371,1,2,0,2,3
-74.0914222,40.6017187,0,0,3,4,2
-73.9155679,40.658393,0,0,1,1,0
-73.8615635,40.9010633,1,1,2,3,1
-73.8263316,40.6790846,1,2,0,2,5
-73.9023809,40.7736653,1,1,2,0,1
-73.9976594,40.5964521,0,0,1,1,0
-74.088289,40.5960559,0,0,3,4,2
-74.1354374,40.5937977,0,0,3,4,2
-73.9009562,40.6755966,0,2,1,1,5
-73.9026216,40.6806649,1,2,1,1,5
